Date,Description,Withdrawals,Deposits,Category,Balance
08/01/2022,ONLINE CREDIT CARD PMT 08/01 XXXX8630,$100.00,,Credit Card Payments,"$1,313.48"
08/01/2022,075   TARGET   MonrPAACH TRAN  TARGET DEBIT CRD,$132.00,,Groceries,"$2,398.79"
07/29/2022,ACH CREDIT      XXXXX6929X MINISTRY OF MAGIC  PAYROLL,,$1000.00,Paychecks,"$2,448.39"
07/26/2022,ACH WEB         XXXXX5208 VENMO            PAYMENT,$487.00,,Transfers,$983.83
07/25/2022,071   TARGET   MonrPAACH TRAN  TARGET DEBIT CRD,$127.00,,Groceries,"$1,588.01"
07/20/2022,ACH DEBIT       XXXXX0081 CITI CREDIT CRD AUTOPAY,$434.00,,Credit Card Payments,"$1,624.16"
07/18/2022,ACH DEBIT       XXXXX4427 WITCHES NATURAL  GAS BILL,$220.00,,Utilities,"$2,554.42"
07/15/2022,ACH CREDIT      XXXXX6175X MINISTRY OF MAGIC  PAYROLL,,$1000.00,Paychecks,"$2,579.34"
07/14/2022,ACH WEBRECUR   XXXXX0001 VERIZON          PAYMENTREC,$356.00,,Cable + Phone,$206.14
07/11/2022,ACH WEBRECUR   XXXXX6153 DURMSTRANG ASSOC CK WEBXFR TRANSFER,$343.00,,Transfers,$274.13
07/05/2022,ACH DEBIT       TZMB3B YARDI SERVICE CH SIGONFILE,$456.00,,Services + Supplies,$284.13
07/05/2022,ACH DEBIT       XXXXX0570 YORKSHIRE LIGHT   PAYMENT,$116.00,,Utilities,$285.08
07/05/2022,073   TARGET   MonrPAACH TRAN  TARGET DEBIT CRD,$274.00,,Groceries,$335.05
07/05/2022,ACH DEBIT       FHTB3B MAYFAIR SIGONFILE,$207.00,,Personal + Family,$441.81
07/01/2022,ONLINE CREDIT CARD PMT 07/01 XXXX8630,$332.00,,Credit Card Payments,"$1,536.81"
07/01/2022,ACH CREDIT      XXXXX1412X MINISTRY OF MAGIC  PAYROLL,,$1000.00,Paychecks,"$2,181.26"
06/21/2022,ACH DEBIT       XXXXX4312 CITI CREDIT CRD AUTOPAY,$193.00,,Credit Card Payments,$716.69
06/17/2022,ACH CREDIT      XXXXX4165X MINISTRY OF MAGIC  PAYROLL,,$1000.00,Paychecks,"$2,756.78"
06/14/2022,ACH DEBIT       XXXXX4427 WITCHES NATURAL  GAS BILL,$146.00,,Utilities,"$1,292.22"
06/14/2022,ACH WEBRECUR   XXXXX0001 VERIZON          PAYMENTREC,$123.00,,Cable + Phone,"$1,322.56"
06/13/2022,ACH WEBRECUR   XXXXX1003 DURMSTRANG ASSOC CK WEBXFR TRANSFER,$453.00,,Transfers,"$1,390.55"
06/13/2022,078   TARGET   MonrPAACH TRAN  TARGET DEBIT CRD,$109.00,,Groceries,"$1,400.55"
